Name,Stream,Bin Number,Stream Character,Zone,geometry
2156FR,Recycle,156,R,2,"c(-118.443518501296, 34.0739069633316, 128.299866699771)"
2105FR,Recycle,105,R,2,"c(-118.444794269703, 34.0712602706946, 119.142492593245)"
2145NL,Landfill,145,L,2,"c(-118.446034496916, 34.0733320412092, 123.737534594756)"
2142NL,Landfill,142,L,2,"c(-118.445830625346, 34.0733240122778, 122.73826113823)"
2141NL,Landfill,141,L,2,"c(-118.445616112837, 34.0733104898862, 136.169537687514)"
2160ML,Landfill,160,L,2,"c(-118.444365919182, 34.0753033441382, 127.608142467487)"
2161ML,Landfill,161,L,2,"c(-118.444167089742, 34.0761984180206, 135.821500104028)"
2148NR,Recycle,148,R,2,"c(-118.446037428653, 34.0733423942955, 123.452619598414)"
2143NR,Recycle,143,R,2,"c(-118.445816022013, 34.0733265975898, 121.441920591408)"
2140NR,Recycle,140,R,2,"c(-118.445595370196, 34.0733055993912, 134.974136578487)"
2009IL,Landfill,009,L,2,"c(-118.445438148812, 34.069091435865, 0)"
2007DC,Compost,007,C,2,"c(-118.448208829944, 34.0689103691323, 0)"
2072DL,Landfill,072,L,2,"c(-118.445182357038, 34.0709786913784, 0)"
3001FR,Recycle,001,R,3,"c(-118.447981819028, 34.0637628022221, 0)"
3002FL,Landfill,002,L,3,"c(-118.447981819028, 34.0637628022221, 0)"
3003FL,Landfill,003,L,3,"c(-118.446409391817, 34.0638815305614, 0)"
3004FR,Recycle,004,R,3,"c(-118.446396858222, 34.0638815887928, 0)"
3005HR,Recycle,005,R,3,"c(-118.445205519939, 34.0638864778714, 0)"
3006HC,Compost,006,C,3,"c(-118.445214357756, 34.0638866684533, 0)"
3007FL,Landfill,007,L,3,"c(-118.444243097686, 34.0638881445754, 0)"
3008FR,Recycle,008,R,3,"c(-118.444236244637, 34.0638893026637, 0)"
3009FR,Recycle,009,R,3,"c(-118.44561608137, 34.0641472344042, 0)"
3010FL,Landfill,010,L,3,"c(-118.44561608137, 34.0641472344042, 0)"
3011AR,Recycle,011,R,3,"c(-118.446971794776, 34.0641522877128, 0)"
3012AC,Compost,012,C,3,"c(-118.446979782175, 34.0641575479275, 0)"
3013AS,Landfill,013,S,3,"c(-118.446974640351, 34.064158782097, 0)"
3014FL,Landfill,014,L,3,"c(-118.442394001122, 34.0641986165281, 0)"
3015FR,Recycle,015,R,3,"c(-118.442395933369, 34.064204332326, 0)"
3016FR,Recycle,016,R,3,"c(-118.44415008837, 34.0647313030155, 0)"
3017FL,Landfill,017,L,3,"c(-118.444159501197, 34.0647320473749, 0)"
3018FL,Landfill,018,L,3,"c(-118.445191994165, 34.0648082416809, 0)"
3019FR,Recycle,019,R,3,"c(-118.445184196715, 34.0648086395535, 0)"
3020DL,Landfill,020,L,3,"c(-118.442536081743, 34.0648217940816, 0)"
3021DC,Compost,021,C,3,"c(-118.442540263055, 34.0648227410061, 0)"
3022DR,Recycle,022,R,3,"c(-118.442538623738, 34.0648294238312, 0)"
3023FL,Landfill,023,L,3,"c(-118.442844783786, 34.0648838431608, 0)"
3024FR,Recycle,024,R,3,"c(-118.442835602046, 34.0648842121537, 0)"
3025DR,Recycle,025,R,3,"c(-118.444178781507, 34.0649461911737, 0)"
3026DL,Landfill,026,L,3,"c(-118.444175995244, 34.0649631817757, 0)"
3027DC,Compost,027,C,3,"c(-118.444178539487, 34.0649722747972, 0)"
3028DR,Recycle,028,R,3,"c(-118.443510573549, 34.065007683663, 0)"
3029DC,Compost,029,C,3,"c(-118.443510760924, 34.0650096648293, 0)"
3030DL,Landfill,030,L,3,"c(-118.443510760924, 34.0650096648293, 0)"
